"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","개봉일스크린수","개봉일관객수","스크린수증가율"
"날아라 허동구",2333597000,378161,260,18712,"2007-04-26","(주)쇼박스","전체관람가","가족,드라마","박규태","권오중,최우혁,정진영,김병철,강남규,정효영,송우진,조범규,김희원,최동현,황다은,박한나,주영진,이동진,박동주,유아영,정원석,정유경,박성원,이소라,임정철,임성희,오재훈,김진혁,이태희,이준현,문가영,이원종,신정근,유하복,김강일,전소현,염동헌","(주)타이거픽쳐스",244,26565,6.55737704918033
"남극일기",5478113500,871235,244,18655,"2005-05-19","(주)쇼박스","15세관람가","스릴러","임필성","박희순,박선주,유지태,송강호,안병근,임성민,최덕문,윤제문,오희준","(주)미로비젼,㈜싸이더스픽쳐스",199,68410,22.6130653266332
"남자가 사랑할 때",14510222300,1979311,531,41123,"2014-01-22","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,드라마","한동욱","황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아,정희태,곽진석,김서원,박혁민,손병욱","(주)사나이픽처스,필름트레인",484,98730,9.71074380165289
"남자사용설명서",3606654257,507913,372,17238,"2013-02-14","(주)쇼박스","15세이상관람가","코미디,멜로/로맨스","이원석","김영현,이시영,오정세,박영규,김정태,이원종,배성우,김준성,김민재,경수진,조혜선,최우영,성윤용,손종규,이순혜,차종호,정보름,손산,김영웅,차청화,김사희","(주)영화사소풍",372,57171,0
"남쪽으로 튀어",5970851500,832894,428,23088,"2013-02-06","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,드라마","임순례","김윤석,오연수,한예리,백승환,박사랑,김성균,이청기,이현경,최성태,홍지은,황인준,박윤호,서은아,김종구,김홍파,라미란,이동휘,박진우,이대연,유재명,유하복,오희준,김태훈,김자영,김영웅,김경덕,전수지,전광진,오창경,김종태","(주)영화사거미,필름트레인",428,45840,0
"남한산성",31225419792,3849129,1229,71102,"2017-10-03","(주)씨제이이엔엠","15세이상관람가","사극,드라마","황동혁","이병헌,김윤석,박해일,고수,박희순,조우진,박주운,박지원,백동현,서병철,장정국,이정호,이호중,권효민,신희철,한창현,허성태,이장유,곽자형,강덕중,박지일,최희도,엄지만","(주)싸이런픽쳐스",1125,444585,9.24444444444444
"내 남자의 로맨스",4895975500,765720,102,9658,"2004-07-16","CJ ENM","12세관람가","드라마","박제현","김상경,박동빈,김정은,이유진,신영미,김희은,안준우,이광재,서광재,박솔,엄기욱,최이영,엄기욱,맹상훈,지대한,한재영,정희태","메이필름(주)",102,58522,0
"내 머리 속의 지우개",11919939500,1885827,206,29532,"2004-11-05","CJ ENM","12세관람가","멜로/로맨스","이재한","정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식","(주)싸이더스",188,111038,9.57446808510638
"내 사랑",6315244000,962134,240,21153,"2007-12-18","(주)쇼박스","12세이상관람가","멜로/로맨스,드라마","이한","감우성,최강희,엄태웅,김민채,박정민,이은아,이연희,정일우,서신애,임정은,박정민,최현주,황재호,박지호,남동협,박현정,안창수,한상현,민경만,유재훈,최선미,장현수,이선화,박새롬,정은혜,엄광원,이한위,최욱,최종률,오연아","(주)오죤필름",196,27557,22.4489795918367
"내 사랑 내 곁에",15584755500,2135509,478,65168,"2009-09-24","CJ ENM","12세이상관람가","드라마,멜로/로맨스","박진표","하지원,김명민,남능미,임하룡,최종률,신신애,임종윤,임형준,임성민,가인,장원영,김여진,김광규,정의철,김혜림,임훈,유지연,유승목,신치영,김영필,강신일,송영창,설경구,박현영,김기천,전수지","영화사 집",460,111989,3.91304347826087
"내 생애 가장 아름다운 일주일",14710541000,2290709,296,41058,"2005-10-07","CJ ENM","15세관람가","멜로/로맨스","민규동","황정민,엄정화,김유정,김윤석,진태현,임창정,정경호,최원석,김수로,정혜영,조상철,김민섭,박준석,전성호,한상훈,서성종,김다인,김도민,유근희,김성래,최민규,전창훈,박상현,임이랑,이주리,김승원,이진호,이은희,이현,이현규,서영희,박진우,우현,주현,정경호,조희봉,이세영,류승수","(주)두사부필름,(주)수필름",276,98339,7.2463768115942
"내 생애 최악의 남자",2877614000,438009,260,18112,"2007-08-30","CJ ENM","15세이상관람가","드라마,멜로/로맨스","손현희,손현희","탁재훈,김선아,염정아,박창섭,박현경,이상길,임영식,엄수정,이한나,김광규,신이,조희봉,유지연,오지은,김승훈,정인기","(주)씨케이픽쳐스",239,32882,8.78661087866109
"내 심장을 쏴라",2856859132,387409,452,20042,"2015-01-28","(주)리틀빅픽쳐스,(주)이수C&E","15세이상관람가","드라마","문제용","이민기,여진구,유오성,김정태,김기천,신구,송영창,박충선,박두식,한혜린,이준혁,임문영,정유정,권소영,이규섭,김재화,엄효섭,김보라,장리우,진용욱,곽순우,한태린","(주)주피터필름",430,60407,5.11627906976744
"내 아내의 모든 것",34224467500,4598985,563,91777,"2012-05-17","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,멜로/로맨스","민규동","임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원,신경철,옥광희,박희본,김지영,정대용,남명렬,김도영,한이진,박현우","(주)수필름,영화사 집",502,87798,12.1513944223108
"내 여자친구를 소개합니다",8329341500,1298666,185,19289,"2004-06-03","CJ ENM,아이러브시네마","15세관람가","멜로/로맨스,드라마","곽재용","전지현,장혁,김정태,정호빈,오정세,김창완,김광규,최주현,정한철,안수라,배재일,권영빈,백경찬,한지빈,원태운,장원식,윤선희,임종식,이호경,송윤희,김희영,안호완,박윤희,박윤희,이기우,정보름,우기홍,서동원","(주)아이필름홀딩스",162,85531,14.1975308641975
"내가 살인범이다",20392518000,2729827,547,58415,"2012-11-08","(주)쇼박스","청소년관람불가","액션,스릴러","정병길","정재영,박시후,최원영,김영애,정건영,장규미,장금단,권귀덕,정용견,정진근,금경배,김경석,최신호,최은애,강봉성,이상문,박윤호,이용희,박규범,백동현,서강호,오병호,유희원,윤봉철,배성우,손종학,한제인,최희진,장광,조은지,이봉련,백현주,류제승,김종구,차청화,한사명,남정희,김민상,김자금","(주)다세포클럽,(주)쇼박스",520,96151,5.19230769230769
"내부자들",56599221057,7072507,1129,152636,"2015-11-19","(주)쇼박스","청소년관람불가","범죄,드라마","우민호","이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명,조경현,권태원,강신철,정민성,박성근,정종열,문광식,이문석,이동진","(유)내부자들 문화전문회사",907,230949,24.4762954796031
"내부자들: 디 오리지널",16979714975,2084868,838,47237,"2015-12-31","(주)쇼박스","청소년관람불가","범죄,드라마","우민호","신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철,정민성,박성근,이문석,이동진","(유)내부자들 문화전문회사",595,159066,40.8403361344538
"내안의 그놈",16420764567,1917999,1041,61752,"2019-01-09","(주)메리크리스마스,TCO(주)더콘텐츠온","15세이상관람가","판타지,코미디","강효진","박성웅,진영,라미란,이수민,이준혁,김광규,민지아,윤경호,김현목,권혁범,오윤수,이호수,김상겸,조성희,박경혜,장진희,차영주,박지훈,정윤하,정원창,박신아,윤부진,류현,민지민,박용균,김건,김경록,서동석,서승원,김근형,서진원,박주현,박준성,김남규,박지아,박지연,김대원,김대한,박진수,박진아,김도현,배경민,백기원,백수현,신유진,신재민,신진호,안효진,유영채,오세은,윤단비,남태우,오지영,윤송아,이정민,강민재,김은화,임효우,고경호,정지연,김현진,임지형,허유리,김재원,정혜원,권혁석,최우석,홍수현,조경섭,전두식,김재명,김홍파,이소라,이소현,김희선,조영지,김승필,황인준,강동길,조현영,이건구,강승호,이경진,이경호,김준형,이광호,지찬,곽지유,김영,권민서,권혁범,김가애,이동영,김영주,김명아,김명인,김범진,김부선,최경민,김예인,김석주,김태진,김태준,조경현,김우래,이우성,김재만,이범찬,김지예,김진걸,조시현,김현기,김찬오,이보라,김용훈,주우진,문강혁,남진복,유승운,진석진,진수선,이은영,김태성,정윤정,정윤철,안스완,이자은,신유선,최대열,박선근,신형근,박성주,최병국,이창식,이미노,이풍운,이하미,박영웅,안애린,이시율,최우주,이연하,손기성,배수진,배윤민,임승준,백민,임종화,염동철,전애진,염채은,예정민,손주형,추석영,전혜영,설지윤,송영우,하은유,하혜주,손광업,임동민,박소영,한선구,황순원,한지웅,한창현,서다해,함정인,허나경,허윤진,현익창,김용호,정택호,이동민,조준형,이상철,이상진","(주)에코필름,(주)전망좋은 영화사",671,85238,55.1415797317437
"너는 내 운명",17653822500,2701244,306,46674,"2005-09-23","CJ ENM","18세관람가","멜로/로맨스","박진표","전도연,황정민,나문희,서주희,윤제문,김상호,이민아,임종윤,신수현,정광재,박명규,정영헌,김수연,이경아,이규복,한지원,이미소,고수희,박진우,김학선,오정세,김광규,김부선,정유석,유지연,류승수,김정영,손경원","(주)영화사봄",293,111526,4.43686006825939
"너는 펫",3810103000,543313,341,24395,"2011-11-10","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김병곤","장근석,김하늘,홍세희,최종훈,김유인,신정원,박재성,고나은,김해인,심서린,조진혁,박진성,박진아,조현수,고우리,유지민,정정숙,윤영식,윤용일,정유미,최원석,이진희,이채원,김주용,안길강,강하늘","컴어나더(주)",318,54892,7.23270440251572
"너의 결혼식",23676244369,2820969,970,98193,"2018-08-22","메가박스중앙(주)플러스엠","12세이상관람가","멜로/로맨스","이석근","박보영,김영광,강기영,장성범,고규필,서은수,차엽,안길강,이동석,이재상,서남윤,김준수,김지훈,김태환,김학준,김한슬,박규태,정난희,박종범,박주희,정유진,정주호,조영웅,김건중,홍근택,홍진기,김민석,김영훈,김성준,강희중,배해선,조성희,신희철,김현숙,안민영,전배수,윤경호,강덕중,유희제,하준,김성준,박성준","(주)필름케이,(주)외유내강",736,99411,31.7934782608696
"널 기다리며",5234303336,635235,551,33774,"2016-03-10","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","스릴러","모홍진","김은우,심은경,윤제문,김성오,오태경,정해균,안재홍,김원해,지대한,이호열,장준현,정재숙,정진혁,조제웅,유경훈,이동혁,김서라,임용순,손경원,주부진,김남순","(주)영화사수작,모티브픽쳐스(주),(주)디씨지플러스",463,41956,19.0064794816415
"넛잡 2",3069388100,411787,526,10449,"2017-10-03","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션,어드벤처,코미디,가족","캘런 브런커","윌 아넷,캐서린 헤이글,성룡,이사벨라 모너","(주)레드로버,툰박스 엔터테인먼트",454,27229,15.8590308370044
"넛잡: 땅콩 도둑들",3284391800,479168,382,10818,"2014-01-29","(주)싸이더스","전체관람가","애니메이션,어드벤처,코미디,가족","피터 레페니오티스","윌 아넷,브렌든 프레이저,리암 니슨,캐서린 헤이글,싸이(박재상)","(주)레드로버,툰박스 엔터테인먼트",356,26870,7.30337078651685
"노무현입니다",14559135612,1855515,775,61332,"2017-05-25","CGV아트하우스,영화사 풀","12세이상관람가","다큐멘터리","이창재","노무현,이상호","영화사 풀",580,78816,33.6206896551724
"노브레싱",2991824739,451669,584,24912,"2013-10-30","(주)나이너스엔터테인먼트","15세이상관람가","드라마,멜로/로맨스","조용선","서인국,이종석,권유리,박철민,박정철,신민철,김재영,선우재덕,서준원,송병준,이명규,김준희,조상현,박용진,정민성,박현우","(주)영화사유랑,(주)팝콘에프앤엠,(주)더샘컴퍼니",572,44704,2.0979020979021
"누가 그녀와 잤을까?",2068632100,353360,212,14953,"2006-11-16","CJ ENM","15세이상관람가","코미디","김유성","김사랑,하석진,김윤아,이혁재,안선영,박철민,박준규,김홍준,신예림,홍진영,박종혁,박준호,김희창,박근식,유용석,육수진,국청아,양창훈,이우진,한재영,김해곤,하동훈,신이,고규필,이주실,윤기원,리우진,차엽","(주)태원엔터테인먼트",195,27856,8.71794871794872
"누구나 비밀은 있다",3529353500,542955,88,7650,"2004-07-30","(주)시네마서비스","18세관람가","코미디,멜로/로맨스","장현수","김효진,이병헌,추상미,최지우,임현주,황재원,최경민,임혜경,임승범,이재훈,정준하,탁재훈,김해곤,신이","(주)태원엔터테인먼트",86,50300,2.32558139534884
"눈에는 눈 이에는 이",13410811500,2058616,445,46474,"2008-07-31","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,스릴러,액션","곽경택,안권태","한석규,차승원,송영창,김윤태,이병준,김혜정,박영찬,홍의정,최지혜,임성규,박정률,조은성,이건문,서정주,박병렬,정윤,정은주,김철준,오권열,김종만,김영한,김해숙,임현성,김지석,신유람,손병욱","(주)태원엔터테인먼트",440,138218,1.13636363636364
"늑대소년",46593140500,6654842,854,109134,"2012-10-31","(주)씨제이이엔엠","15세이상관람가","멜로/로맨스,드라마,판타지","조성희","송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수,김승훈,구교환,이민웅,남정희,정인겸","(주)영화사비단길",588,128787,45.2380952380952
"늑대소년-확장판",2869918500,414285,278,11438,"2012-12-06","(주)씨제이이엔엠","15세이상관람가","멜로/로맨스,드라마,판타지","조성희","송중기,박보영,장영남,유연석,김향기","(주)영화사비단길",211,18475,31.7535545023697
"늑대의 유혹",8025959500,1297296,123,12777,"2004-07-22","(주)쇼박스","12세관람가","드라마","김태균","강동원,이청아,조한선,이명수,정혜영,김현진,박용두,조인형,박진희,정다혜,김보연,김응수,남정희","(주)싸이더스",93,57352,32.258064516129
"님은 먼 곳에",11206382000,1706495,499,36581,"2008-07-24","(주)쇼박스","15세이상관람가","드라마,전쟁","이준익","수애,정진영,정경호,주진모,조미령,홍영승,한성수,릭키 준,서성만,장재욱,이홍복,김장수,윤석진,이정세,오세영,이영수,오승현,정인애,최운석,신현탁,신정근,이주실,박윤호","(주)타이거픽쳐스",480,131171,3.95833333333333
"다세포소녀",2862468600,476724,199,12552,"2006-08-10","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","코미디,멜로/로맨스","이재용","이종환,김옥빈,박진우,이켠,김도연,김수미,박용식,정혜영,신규식,조미현,신상우,안혜영,신승호,신영호,최재희,박재민,최지혜,이용주,김이경,김하림,박지혜,박태석,박혜원,박희준,배유리,이동우,김병화,김대웅,김광수,김대호,이혜정,이재흥,유호린,유준상,윤성호,정도영,김수관,용이,이혁,이현희,김용한,이재흥,이종열,이원종,이재용,이은성,장준녕","㈜영화세상",184,73853,8.15217391304348
"다찌마와리",4128754000,628359,299,23414,"2008-08-14","(주)쇼박스","12세이상관람가","액션,어드벤처,코미디","류승완","임원희,공효진,박시연,황보라,구본웅,김수현,김현우,이수현,류승범,강구현,허명행,송민석,송선찬,김동후,박지만,황정욱,노남석,주아영,류승완,권지훈,차주한,민지민,민지민,민지민,박갑진,곽진석,윤대원,윤대원,최봉록,권귀덕,권문철,권문철,이아영,이용신,양태용,김영인,이현주,정우,김병옥,조덕현,정석용,천성훈,조상건,안길강,오지혜,김뢰하,이도겸,이영아,김동후,이정민,곽진석","(주)외유내강,(주)쇼박스",286,60683,4.54545454545455
"달마야, 서울 가자",4469579500,703507,128,10918,"2004-07-09","(주)시네마서비스","15세관람가","코미디","육상효","김지영,신현준,유해진,이성호,정진영,윤지연,이원종,김만수,홍성훈,박진,박찬민,하상호,임철민,공유석,김성구,이준회,신정근,정한용,전소현,염동헌,박윤호","(주)타이거픽쳐스,(주)씨네월드",125,62221,2.4
"달콤, 살벌한 연인",13426707100,2077590,246,38034,"2006-04-06","CJ ENM","18세관람가","스릴러,멜로/로맨스","손재곤","박용우,최강희,정경호,박준오,이광우,김권태,유주희,윤혜진,오유진,조은지,선우선,김기천,조영규","(주)싸이더스,(주)MBC씨앤아이",219,66776,12.3287671232877
"달콤한 거짓말",3122965500,471310,340,19594,"2008-12-18","CJ ENM","12세이상관람가","멜로/로맨스,코미디","정정화","김선아,박진희,조한선,이기우,김동욱,최은주,안은정,이동민,변현석,채민서,박경태,유세희,김인석,김성제,박선민,정성호,이시원,김준수,양희경,채민서,조진웅,최진호,김광규,차은재,정다빈,권태원,오연아","CJ ENM",335,30004,1.49253731343284
"달콤한 인생",7233889100,1112734,265,30664,"2005-04-01","CJ ENM","18세관람가","액션","김지운","이병헌,김영철,신민아,김뢰하,이기영,오달수,진구,정유미,허명행,손정민,김효현,양강연,홍은미,박종민,서정희,윤정섭,윤진율,정원경,박성규,박성균,전혜민,이안규,오유진,박진우,하용진,전국환,김해곤,황정민,문정혁,곽민호,이승호,이한솔","(주)영화사봄",258,66667,2.71317829457364
"당신, 거기 있어줄래요",9361708648,1168740,767,41404,"2016-12-14","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","판타지,드라마","홍지영","김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나,이유미,윤진영,전준영,김효진,배유리,김성령,김지영,장광,김선아,김광규,박길수,박희본,정인기,김승희,임채영","(주)수필름",756,92278,1.45502645502645
"대립군",6276963402,837500,809,29085,"2017-05-31","이십세기폭스코리아(주)","15세이상관람가","드라마,사극","정윤철","이정재,여진구,김무열,이솜,박원상,배수빈,김명곤,박해준,이한성,박정환,박지환,손승훈,손영진,정연수,지경현,유명환,윤성민,이가경,이경수,이경재,이상현,이승훈,이주영,박호산,김원진,김재록,우기홍,강도연,최병모,박상훈,김시우,진수현,박지훈,이승철","리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,(주)블러썸픽쳐스",809,136240,0
"대장 김창수",2879121115,381483,748,21745,"2017-10-19","(주)키다리이엔티,주식회사 키위컴퍼니","12세이상관람가","드라마","이원태","조진웅,송승헌,정만식,정진영,신정근,유승목,정규수,이서원,곽동연,박소담,박재영,박정숙,박지훈,서주연,최서윤,이신우,이원태,이정철,이정현,홍재식,황정용,염혜란,오안진,한성천,이정현,전배수,배진웅,김시우,김재영,황재필,차영우,전정일","(주)비에이엔터테인먼트,(주)무비스퀘어",734,44469,1.90735694822888
"대한민국 1%",2244690500,440372,286,20352,"2010-05-05","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,액션","조명남","손병호,임원희,이아이,손종우,김형범,최제헌,이신성,최진영,한대희,문성진,고용석,장규순,전지운,윤의석,박순홍,이기원,김우영,임채무,동현배,김수현,박충선,현원,김수현,윤충,이동진","㈜기억속의매미",281,40599,1.77935943060498
"대호",13489904632,1762742,892,44821,"2015-12-16","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","사극","박훈정","최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이나라,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환,손성찬,설창희,곽진석,김서원,정태야","(주)사나이픽처스",892,128396,0
"댄서의 순정",11674131000,1856759,240,36482,"2005-04-28","쇼이스트(주)","12세관람가","드라마","박영훈","박건형,김은경,문근영,김지영,임진승,최진석,박현규,김병일,류지원,이혜정,김인희,이정희,이대연,우기홍,정인기","(주)컬처캡미디어",211,65818,13.7440758293839
"댄싱퀸",30130775500,4058225,544,80988,"2012-01-18","(주)씨제이이엔엠","12세이상관람가","코미디,드라마","이석훈","황정민,엄정화,정성화,오나라,박정민,박사랑,임호걸,정원영,이정건,안은정,라미란,송원석,이대연,이한위,최우리,천보근,권병길,조달환,서동원,정아미,어성욱","(주)제이케이필름,(주)씨제이이엔엠",403,46500,34.9875930521092
"더 게임",9807963501,1479859,338,31877,"2008-01-31","(주)프라임엔터테인먼트","15세이상관람가","스릴러","윤인호","변희봉,손현주,신하균,이혜영,김혁,노승범,박유리,김효배,박유리,차승환,김석현,유영권,이용철,신정근,이은성,최욱,한재영","(주)프라임엔터테인먼트",266,72292,27.0676691729323
"더 웹툰: 예고살인",8537683070,1201457,541,35931,"2013-06-27","(주)씨제이이엔엠","15세이상관람가","공포(호러),스릴러","김용균","이시영,엄기준,정현태,문가영,권해효,김도영,현우","(주)필마픽쳐스 ,(주)라인필름,(주)씨제이이엔엠",541,80164,0
"더 킹",43492302535,5317959,1310,107985,"2017-01-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,드라마","한재림","조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용,박시영,임승묵,박정민,박지홍,박진영,장승연,손영진,안용우,유현종,이나경,이석호,한미진,이승민,이윤희,김원진,김규선,남명렬,이가경,차지원,차엽,오대환,이세랑,정원중,곽순우,금새록,김해나,정인기,박성근,윤부진,조대희,임용순,이열음,염석무,박기만,이병철","(주)매그넘나인",1125,288966,16.4444444444444
"더 테러 라이브",39869706381,5584139,809,93488,"2013-07-31","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,기타","김병우","하정우,이경영,전혜진,이다윗,이재관,이춘연,장성환,전려경,박수화,김홍파,김대명,최진호,김소진,강진아,최대훈,강신철,한성천,손성찬,최정현","(주)씨네이천",674,215832,20.0296735905045
"더 파이브",5343797000,731212,501,27308,"2013-11-14","(주)씨제이이엔엠","청소년관람불가","스릴러,드라마","정연식","김선아,마동석,신정근,정인기,이청아,박효주,온주완,유종성,이안나,이지성,이현우,전혜림,박상운,박성근,김현수,주영호,차종호,오만석,김근영,김경재,오민애,손성찬,홍우진","(주)시네마서비스",501,47976,0
"더 폰",12309164568,1593694,794,53599,"2015-10-22","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러,액션","김봉주","손현주,엄지원,배성우,김성종,권지훈,조용관,정한빈,정진근,장한별,임태훈,이확광,이병권,김경애,김광섭,이광기,김영민,김용환,김소영,김주희,김태환,김한준,서병철,백동현,이철민,노정의,장인섭,조달환,황석정,이정민,이수인,김기천,권혁범","(주)미스터로맨스",705,97241,12.6241134751773
"덕구",2392473700,316241,544,19016,"2018-04-05","메가박스중앙(주)플러스엠","전체관람가","드라마","방수인","이순재,정지훈,장광,성병숙,차순배,박지윤,윤송아,이현,이도현,김현우,박민정,박윤호,정재훈,김보연,김수민,전소현,정기섭,류성현","(주)영화사두둥,(주)곰픽쳐스",463,17766,17.4946004319654
"덕혜옹주",44395967609,5599665,964,97323,"2016-08-03","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","사극,드라마","허진호","손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원,고수,금새록,김승훈,김기천,곽자형,김나연,신정섭,김용호","(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",774,267112,24.5478036175711
"데이지",5754065300,911420,299,23767,"2006-03-09","(주)쇼박스","15세관람가","멜로/로맨스","유위강","전지현,정우성,이성재,유순철","(주)아이필름홀딩스,베이직픽쳐스",285,80587,4.91228070175439
"도가니",35566892800,4662829,756,88339,"2011-09-22","(주)씨제이이엔엠","청소년관람불가","드라마","황동혁","정유미,공유,허재호,송은정,임현성,최진호,박진우,이금용,배정민,김봉화,최보람,박사현,전영미,박선희,최영수,이순남,박승원,오하나,이예나,이차주,김현수,장소연,장광,전국환,엄효섭,남명렬,이장유,박혜진,김민상","(주)삼거리픽쳐스,(주)판타지오",495,136094,52.7272727272727
"도둑들",93665568500,12983330,1091,155393,"2012-07-25","(주)쇼박스","15세이상관람가","액션,범죄","최동훈","김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상,서영주,장동,장현문,정윤헌,조상원,한규석,홍원기,김영민,최덕문,최진호,장준녕,예수정,김영웅,이은채,손병욱,이동진","(주)케이퍼필름",890,436596,22.5842696629214
"도리화가",2246950339,317505,563,19168,"2015-11-25","(주)씨제이이엔엠","12세이상관람가","사극,드라마","이종필","류승룡,배수지,송새벽,김남길,이동휘,안재홍,조정숙,황태양,김은지,김은지,김정곤,박선,박솔지,박윤호,이광호,이상우,이유나,이윤정,이준,이지은,이혜진,진선규,박호산,김소진,신창주,김태훈,권범택,권유진","(주)영화사 담담,(주)어바웃잇",544,49216,3.49264705882353
"도마뱀",2307824200,364848,253,13919,"2006-04-27","(주)시네마서비스","12세관람가","멜로/로맨스,드라마","강지은","강혜정,조승우,장민,이진영,조현철,진경,강신일,한수빈,김병주,고태호,오병진,이형철,우현,이재용,남정희,박신혜","(주)영화사아침",247,31464,2.42914979757085
"도어락",12803157486,1561258,954,53836,"2018-12-05","메가박스중앙(주)플러스엠","15세이상관람가","스릴러,드라마","이권","공효진,김예원,김성오,조복래,이가섭,이천희,김동규,김보경,김유정,김지한,김지현,백민준,이승창,장효석,한지은,배유리,배명진,차엽,윤종석,이장유,이홍내,손영희,정종우,박초연,최만성","(주)영화사피어나",854,122978,11.7096018735363
"독전",43486831113,5063844,1532,140008,"2018-05-22","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","이해영","조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우,이경제,이민호,김재훈,백승환,이정철,이정호,김준형,이주영,이지민,안성봉,김태준,김태현,오현석,박성연,박예진,박은영,박정진,박종범,정여진,박진수,최성철,김대근,황기석,김양수,김선우,강승현,강지현,김누리,김동영,진서연,정가람,김동영,금새록,정준원,서문호,이육헌,윤재인,정종우,추연규","(주)용필름,보야저필름",1063,376530,44.1204139228598
"돈",28870244062,3389125,1431,120809,"2019-03-20","(주)쇼박스","15세이상관람가","범죄","박누리","류준열,유지태,조우진,원진아,박명신,이화룡,오희준,정기섭,차래형,김강현,유재명,이서환,정만식,임세미,한주완,서명찬,이무생,홍인,임천석,우지이,강우신,홍석찬,임교은,박용복,백명재,백정우,추판호,배재완,추국현,주제희,김일석,안문주,선인호,황혜진,현명석,노현욱,구혜연,권욱락,환현규,서아라,강이나,천세라,최별하,최예록,박아정,현정애,김운송,허철영,구효길,백승인,주동희,이태검,강덕중,남문철,동윤석,동현배,고해성,박상훈,곽진석,구본진,박성용,맹나현,박성현,박세정,권지훈,권혁성,서정우,김기정,선율우,박준혁,성승주,박준호,김대현,손영민,손우진,손종학,송승현,신재민,변진수,김민아,김민재,안현빈,유지수,오경민,오대환,육효명,김상욱,신나리,김세정,윤선혜,윤용석,윤용석,윤육,이정철,고재경,장영주,김재영,허지나,최영우,이지연,장훈,김혜련,김혜준,이지혜,황병국,이수련,조우진,김종수,이육헌,최현종,황정민,최정현,김시우,조정원,정도원,이가경,강동균,정민규,주보라,김지나,김지성,진선규,이도국,김진옥,최희진,이연우,김하영,김성강,정세아,김태한,김왕도,이민정,김윤영,김윤오,김찬이,이원찬,이현일,이유진,명재환,이윤경,이은석,정수용,김태빈,이이슬,박광진,김철민,윤채연,김진호,박소리,안지은,안태준,이호근,박현욱,최현종,전희련,오승훈,장규미,김현우,한성호,한수용,곽진석,장규미,노상현","(주)사나이픽처스,(주)영화사 월광",1146,165833,24.869109947644
"돈 크라이 마미",6808882099,975462,444,29553,"2012-11-22","(주)에스비에스콘텐츠허브","15세이상관람가","스릴러,드라마","김용한","유선,남보라,유오성,동호,권현상,이해신,전진희,양세희,신동미,길해연,이창훈,곽자형","(주)씨네마골뱅이",365,107365,21.6438356164384
