"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"인류멸망 보고서",704635000,97916,236,9556,2012-04-11,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)","15세이상관람가","SF","김지운","류승범,김강우,송새벽,송영창,김규리,고준희,진지희,류승수,윤세아,조윤희,임근호,임형주,정우,최덕문,윤제문,김뢰하,이칸희,김무열,이영은","지오엔터테인먼트"
"인사동 스캔들",7780811000,1187684,305,33106,2009-04-29,"에스케이텔레콤(주)","15세이상관람가","드라마,범죄,액션","박희곤","김래원,엄정화,임하룡,홍수현,박영석,최호진,유성진,최선호,전형준,박송해,정지훈,이해원,이형주,김병옥,김홍파,유순철,이얼,오정세,지대한,손병호,이봉규,김강일,이장희","(주)쌈지"
"인천상륙작전",55105606303,7050475,1049,97032,2016-07-27,"(주)씨제이이엔엠","12세이상관람가","전쟁,드라마","이재한","김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,한비,김희진,진용욱,곽순우,홍기준,우도환,성혁,길금성","(주)태원엔터테인먼트"
"인천상륙작전 : 익스텐디드 에디션(확장판)",220051200,27070,122,1522,2016-09-13,"(주)씨제이이엔엠","15세이상관람가","전쟁,드라마","이재한","이정재,김정철,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,곽순우,홍기준,성혁","(주)태원엔터테인먼트"
"인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D",412379000,39577,84,1021,2012-10-18,"골든타이드픽처스(주)","전체관람가","공연,다큐멘터리","손석","김성규,장동우,남우현,호야,이성열,엘,이성종","케이비에스미디어(주),(주)울림엔터테인먼트"
"임금님의 사건수첩",12651193723,1635003,1054,53005,2017-04-26,"(주)씨제이이엔엠","12세이상관람가","코미디,어드벤처,액션","문현성","이선균,안재홍,김희원,주진모,장영남,경수진,정해인,조영진,박용균,박정민,박진욱,박형수,서병철,심상용,안용우,조제웅,유하나,윤기현,이상원,이승일,이승훈,이영호,이웅희,이재현,이재환,이정민,이주원,최용훈,김종훈,김정영,장문규,김응수,홍기준,강찬희,송훈,임용순,정태야","(주)영화사람,(주)씨제이이엔엠,(주)더타워픽쳐스"
"자전차왕 엄복동",1304861670,172212,624,11245,2019-02-27,"(주)셀트리온엔터테인먼트","12세이상관람가","드라마","김유성","정지훈,강소라,이범수,민효린,김희원,고창석,이시언,오민애,박진주,이정현,강덕중,강문봉,박근형,강인구,강희욱,강희중,고수희,박상원,박선주,구민혁,박성택,박영일,박용수,박재우,김규리,박태준,김동민,김동하,송재호,배창호,신철진,김민수,김병욱,김병철,유현식,오승희,윤병희,김수웅,임채선,최명빈,장근영,최석환,이서준,허유리,정혁진,김재열,이지민,김기범,조용현,김희진,이찬유,이지환,윤종구,정규민,정규호,조현수,이경영,고재성,김지성,최철수,구본규,권솔로,차순배,정석원,최환,기연호,김광오,채서원,이도용,김문학,김민건,김슬우,조두영,조무건,이창훈,김일우,김재선,김종재,이채원,이원종,김용진,노희국,김한울,조준,조준,이혜원,도용구,김태훈,우민제,한철우,주정원,문경현,노광규,김태현,이윤수,문두환,유영준,이으뜸,정동현,김원진,이은솔,유혁,차석호,차성제,왁스,박경화,김찬수,이장원,신수항,박병우,박병호,이정필,김진호,최대철,이정홍,최동익,최래선,정혜윤,김진우,이충구,박시후,안수민,이한들,이한위,이승로,이승로,이화랑,이영배,이영서,이예성,박정욱,박혜린,임지춘,염호정,전종헌,전해솔,서재홍,손지안,임형태,손한결,장도영,하재우,백태훈,박기범,홍성환,한성빈,황민우,한태일,함태인,김광수,윤대근,김문학,이승철","(주)셀트리온엔터테인먼트"
"자칼이 온다",1430079500,210278,300,11257,2012-11-15,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","배형준","송지효,김재중,오달수,한상진,김성령,두경훈,박남규,서동원,라미란,김용건,신동미,유재명,장태성,주민하,임현성,김사희,서이안","(주)노마드필름"
"작업의 정석",11706585100,1853623,260,28423,2005-12-21,"(주)쇼박스","15세관람가","코미디","오기환","손예진,송일국,김애경,박용우,안선영,박준규,신주연,신준하,서민희,고재욱,윤영준,정민호,박준규,우현,금보라,강두,정성일","영화사청어람(주)"
"작전",10086067500,1517096,393,50216,2009-02-12,"(주)쇼박스","15세이상관람가","범죄,드라마,스릴러","이호재","박용하,박희순,김민정,김무열,김준성,신지희,김현미,박재웅,김길동,권형준,이승기,이시연,이하림,조덕현,조재윤,신현종,전국환,유승목,이은지,김승훈,정민성,정종열,최교식,신유람","(주)영화사비단길"
"잔혹한 출근",2076522300,348508,240,13124,2006-11-02,"CJ ENM","15세관람가","코미디,범죄","김태윤","김수로,이선균,고은아,김영민,김응수,정종훈,이승희,이정우,문단열,강경헌,박주영,강동헌,송재완,박유선,박준호,황진하,한광수,조화성,김남식,김건우,박경석,김성환,장동현,오호진,이준규,김병옥,최종률","㈜게이트픽쳐스"
"잘 살아보세",1415274100,236799,197,12595,2006-09-28,"롯데쇼핑㈜롯데엔터테인먼트","12세관람가","코미디","안진우","김정은,이범수,이창환,박현선,김상아,민지은,유재현,구관성,임희철,전재현,김재석,이현학,라미란,변희봉,신정근,우현,오지혜,박준면,조희봉,전미선,류제승,곽수정,주부진","(주)굿플레이어"
"잘못된 만남",308882000,47555,143,4626,2008-07-10,"토이 엔터테인먼트","15세이상관람가","드라마,코미디","정영배","김수정,정웅인,성지루,최종원,최지연,최우혁,형성석,박재욱,이상훈,전기홍,박찬규,박현순,조현국,김병목,민경조,유수영,박도혁,박민우,정지혜,이현민,이중옥","(주)씨네라가픽쳐스"
"잠복근무",9590663500,1533225,214,32277,2005-03-17,"(주)쇼박스","15세관람가","코미디,액션","박광춘","김원진,공유,김선아,하정우,이범수,남상미,강경희,김회근,신경하,김명조,홍수아,박우규,김현진,황의천,나상문,남경화,조한영,진수애,김덕겸,최미진,장지영,박상현,윤지원,정은미,양은성,김종명,안형준,김지숙,김지우,김상호,박상면,김선영,정만식","(주)마인엔터테인먼트 ,시리우스픽쳐스(주)"
"잡아야 산다",415009400,55011,219,3189,2016-01-07,"오퍼스픽쳐스(유)","15세이상관람가","코미디,액션","오인천","김승우,김정태,한상혁,신강우,김민규,문용석,오만석,최호중,이해준,조창근,윤다영,서범식,이한위,안길강,장현기,장훈남,박혜미,정구영,서경배,정인혜,손지훈,정혜연,조권수,강현우,윤진영,이동진,이민경,이상헌,이선미,이승연,김욱,김영,양도현","더퀸디앤엠 주식회사"
"장사리 : 잊혀진 영웅들",8997921050,1140876,1090,47821,2019-09-25,"워너브러더스 코리아(주)","12세이상관람가","전쟁","곽경택,김태훈","김명민,최민호,김성철,김인권,곽시양,메간 폭스,조지 이즈,장지건,이재욱,이호정,동방우,김미화,정종준,이다인,황재열,오봄길,한철우,김진욱,김민규,이철민,양중경,홍성우,백남준,최상재,신진범,김근수,정기용,정철헌,장명갑,김한솔,송우림,오경주,전병일,서호석,배태준,서진원,이형석,배정명,박주환,조정훈,임영세,이지열,박윤상,공윤호,연원모,김기태,정연조,조서진,홍원표,차승엽,이지수,김현준,박상길,김연국,안홍,강호빈,한가을,김성도,김여준,박준규,손원익,정상일,최주영,최준민,하병우,하지완,고남호,공현대,성재현,김경현,남승민,함상훈,현병빈,조형태,최희원,오정훈,채승우,장병수,황진환,김주현,김동진,서정우,허재훈,배건하,박동일,임효성,임효성,이한종,전상욱,백신,함성일,배준모,권오철,김미화,정승배,하진,이혜수,윤정근,오규철,손창민,강상협,김태원,권혁일,고형우,안지훈,최창근,소진우,정현진,문창준,이욱진,주재형,이태윤,안시우,김재호,이상혁,조대우,전샘,정창호,유정민,김진성,조승환,윤대근,강문봉,조영길,오창후,문정식,봉명필,정재훈","(주)태원엔터테인먼트"
"장산범",10341783083,1306438,711,34769,2017-08-17,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","미스터리,스릴러","허정","염정아,박혁권,허진,신린아,방유설,이준혁,이달,이주원,장리우,정지훈,노수산나,김수안","(주)드림캡쳐"
"장수상회",8738974643,1166049,688,52931,2015-04-09,"(주)씨제이이엔엠","12세이상관람가","멜로/로맨스,드라마","강제규","박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철,박나예,남명렬,염혜란,박경혜,윤경호,전운종","(주)빅픽쳐,(주)씨제이이엔엠"
"재심",19266319637,2421197,935,68402,2017-02-15,"오퍼스픽쳐스(유),CGV아트하우스","15세이상관람가","드라마","김태윤","정우,강하늘,김해숙,이동휘,한재영,이경영,박희정,우상기,조해진,유지현,이다은,이동희,이동준,이승훈,한하늘,이정수,이정은,이종재,김진욱,김소진,김하나,최정헌,전소현,우상기,민진웅,김영재,하성광,곽자형,백익남","(주)이디오플랜"
"적과의 동침",1740340000,243094,391,14069,2011-04-27,"(주)쇼박스","12세이상관람가","드라마,멜로/로맨스","박건용","김주혁,유해진,정려원,김명일,조민아,신성훈,유하준,이신성,가원,채빈,한명진,차지훈,윤석현,장성현,이학민,변희봉,신정근,김보연,최희진,한기중,김상호,오희준,최원영,한사명","(주)알지엔터웍스"
"전국노래자랑",6687636000,978413,581,41649,2013-05-01,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,드라마","이종필","김인권,류현경,김수미,오광록,유연석,이초희,오현경,송해,최두원,김경민,김정복,김용건,정경순,이병준,서동수,정재헌,김환희,이세랑,이정은","(주)인앤인픽쳐스"
"전설의 고향",2246522500,352513,201,14970,2007-05-23,"(주)프라임엔터테인먼트","12세이상관람가","공포(호러)","김지환","박신혜,양금석,재희,김민경,최원석,김화영,홍성민,김보라,안미나,정상훈,박명신,김도영","윈텍필름(주)"
"전설의 주먹",12777314500,1744585,724,57593,2013-04-10,"(주)씨제이이엔엠","청소년관람불가","드라마,액션","강우석","황정민,유준상,이요원,윤제문,정웅인,성지루,지우,장영주,장임태,장준석,장한별,전상민,전재형,정동혁,정윤성,주창욱,채성원,천준호,최봉록,최춘범,최충열,허명행,박용균,박재영,이수민,김태형,박정민,박진우,서범식,강신일,강성진,김종수,변준우,전준영,이정혁,권은수,어성욱,곽진석","(주)시네마서비스"
"전우치",44092783000,6065369,612,102356,2009-12-23,"CJ ENM","12세이상관람가","액션,코미디,판타지","최동훈","강동원,임수정,김윤석,유해진,염정아,김시권,주진모,김효진,강동균,정혜란,손선영,송진영,김혜지,신수현,박용범,박민규,조운,박지희,안성진,노남석,한연호,김고은,김규연,고준영,박남희,윤대원,이석원,이성두,정영훈,정우철,박연수,오준석,정지인,이우희,이대로,이철희,송영창,이미도,김서현,최진호,조상건,장준녕,최우리,김상호,이용녀,선우선,공정환,박성훈,박수영,권태원,정인기,김기범,최교식,김기천,조운,김현식","영화사 집"
"점박이 한반도의 공룡2 : 새로운 낙원",4293746800,550145,672,12584,2018-12-25,"(주)넥스트엔터테인먼트월드(NEW)","전체관람가","애니메이션","한상호","박희순,라미란,김성균,김경진,김재훈,김흥래,윤정화,이민규,이준호,이호준,최윤정,김응수,박중금,장유화","(주)드림써치C&C"
"점박이:한반도의 공룡3D",9683159500,1051192,457,22522,2012-01-26,"(주)씨제이이엔엠","전체관람가","애니메이션,어드벤처,액션","한상호","이형석,신용우,구자형","(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오"
"점쟁이들",6731202500,953682,479,31577,2012-10-03,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,공포(호러)","신정원","김수로,오상철,강예원,이제훈,곽도원,김윤혜,양경모,임철형,임혁진,권성휘,장원욱,조인영,김남수,최상준,최정화,최홍선,박유영,함동진,함동진,현창조,김영준,이연희,김지예,이재덕,이주호,박경원,석상선,송대규,신유진,유혁준,유순철,한제인,이병준,진용욱,주석태,김태훈,최원영,김기천,이장유,이미도,최정현,신정섭,김현철,이동진","(주)사람엔터테인먼트,(주)다세포클럽"
"정글히어로",511579300,72047,287,2825,2014-10-02,"(주)씨제이이엔엠","전체관람가","애니메이션","박태동,마우리시오 드 라 오르타","심규혁,김기철,조성목,김현지,양세나,남도형,안장혁,이상헌,김무규","원더월드 스튜디오,(주)디씨지플러스"
"정승필 실종사건",2296093000,318852,261,19824,2009-10-08,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","강석범","김선영,이범수,김민선,유종근,강남영,한혜림,함아름,박상욱,임대호,정하연,김민세,이다연,임세호,이진수,이용혁,이태우,김주호,박성웅,이원종,이한위,김광규,지대한,김뢰하,지창욱,김현숙","화이트리시네마"
"제 7기사단",80160964,10710,95,1155,2015-09-10,"메가박스중앙(주)플러스엠","15세이상관람가","액션,어드벤처","키리야 카즈아키","클라이브 오웬,모건 프리먼,안성기,엑셀 헨니,최재현,장한별,장영주,김선웅,이상민,박재영,박상욱","(주)루카프로덕션"
"제니, 주노",1283847500,216516,99,7606,2005-02-18,"쇼이스트(주)","15세관람가","드라마","김호준","김혜성,박민지,김유나,김지연,이민아,강남길,박영미,박철수,안정현,한승규,권유진,김기수,김인화,이효휘,박범규,최순식,정소림,김창선,서민정,이정숙,정지안","(주)컬처캡미디어"
"제보자",13515762802,1755181,676,58358,2014-10-02,"메가박스중앙(주)플러스엠","12세이상관람가","드라마","임순례","박해일,유연석,이경영,박원상,류현경,송하윤,김강현,김수안,김중기,이봉규,이승준,박세정,서지원,안수정,양대성,정보현,조남호,최성진,황현태,김경란,김도윤,김유민,김지은,유재명,장문규,김새벽,정훈석,최희진,김원해,장광,김영재,황정민,한기중,이미도,최용민,권해효,남명렬,이화룡,박성근,최교식,전수지,오창경,권범택,남진복,김태훈","(주)영화사수박"
"조선마술사",4650016527,628576,608,18630,2015-12-30,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","김대승","유승호,고아라,곽도원,조윤희,이경영,박철민,손병호,조달환,서범식,김지민,이재웅,최광락,장유상,임종윤,박충선,김태준,이가경,염혜란,이수인,홍인,김서원","위더스필름(주)"
"조선명탐정 : 각시투구꽃의 비밀",35841769500,4786259,634,84189,2011-01-27,"(주)쇼박스","12세이상관람가","코미디,액션","김석윤","김명민,김호연,한지민,오달수,김영훈,백성기,지승현,류현상,김경화,김탁호,김윤섭,최무성,남성진,우현,이재용,예수정,원현준,김태훈,정인기","청년필름(주)"
"조선명탐정 : 사라진 놉의 딸",30456879428,3872015,825,80499,2015-02-11,"(주)쇼박스","12세이상관람가","사극,코미디,어드벤처","김석윤","김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영,권범택,현우","청년필름(주)"
"조선명탐정: 흡혈괴마의 비밀",19822789764,2444136,1249,74953,2018-02-08,"(주)쇼박스","12세이상관람가","사극,어드벤처,코미디","김석윤","김명민,오달수,김지원,김범,이민기,지웅배,이대현,이소희,이재웅,백승진,이정민,김정화,서지은,김탁호,김태윤,김태희,김현주,류현상,민성주,박동석,전건익,전현우,박지선,김태호,박지현,김건,최유진,김미란,김상일,김영우,김영진,한성희,염동헌,송훈,강덕중,조한준,윤상훈,장유화,현우","청년필름(주)"
"조선미녀삼총사",3471341321,480361,388,14031,2014-01-29,"(주)쇼박스","12세이상관람가","코미디,액션,사극","박제현","하지원,강예원,가인,고창석,주상욱,최성민,박동빈,하용진,강민호,박지훈,배범식,서명석,장정주,정명군,정수남,정우현,조영훈,이민수,하형원,한상일,이재윤,이준영,김태엽,김태용,김효중,박건우,정호빈,송새벽,장희수,공정환,이유준,박재홍","(주)웰메이드필름"
"조용한 세상",937877400,161142,172,7351,2006-12-14,"(주)프라임엔터테인먼트","15세이상관람가","드라마,미스터리,스릴러","조의석","김상경,박용우,한보배,장재영,강남미,송민주,김효주,정일우,박정환,박준영,한문수,김경우,이혜연,김동하,유창현,유화영,김정선,양준영,양준호,김진국,함은정,이기열,오정세,손범수,이종수,원애리","(주)엘제이필름"
"조작된 도시",20144704587,2515590,1019,62242,2017-02-09,"(주)씨제이이엔엠","15세이상관람가","범죄,액션","박광현","지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철,손강국,한지은,박지후,오재세,김슬기,박경혜,권태원,이성우,하성광,승의열,임용순,임지수,이도국,엄지만,서이안,배민정,김회진,한대훈","(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트"
"조폭마누라3",8851336500,1468191,372,28923,2006-12-28,"(주)쇼박스","15세이상관람가","액션,코미디","조진규","최령,이범수,서기,심정호,안광남,김도영,민성주,임결향,오지명,오복연,김준형,김병춘,지대한,조희봉,오복연","(주)현진씨네마"
"좋아해줘",6572774337,848148,637,27125,2016-02-17,"(주)씨제이이엔엠","12세이상관람가","멜로/로맨스,코미디","박현진","이미연,최지우,김주혁,유아인,강하늘,이솜,하석진,지윤호,한재영,선주아,이춘우,이한승,이현서,장원진,전호성,송창현,이서연,이성진,이승연,이정은,박명신,이승연,김승훈,박희본,조대희,허정도,정유진,최정현","리양필름(주),(주)제이케이필름"
"좋은 놈, 나쁜 놈, 이상한 놈",43754257000,6685845,824,93574,2008-07-17,"CJ ENM","15세이상관람가","서부극(웨스턴),액션,어드벤처","김지운","송강호,이병헌,정우성,오달수,엄지원,김광일,손병호,이청아,김선영,성정훈,송승현,신상우,조화성,박광복,송영창,윤영우,정성우,이한솔,양명헌,박진우,조덕제,최진호,진선규,정세형,윤제문,류승수,홍기준,오연아,류제승,이정민,양도현,오일용","(주)다크서클픽쳐스,(주)바른손이앤에이"
"좋은 친구들",3222290031,407253,371,18060,2013-03-28,"(주)마인스 엔터테인먼트","청소년관람불가","액션","진형태","연정훈,이지훈,키타무라 카즈키,최정원,김영훈,이찬영,구필우,성혁","주니파워픽처스(주),판타지웍스엔터"
"좋지 아니한가",1849140000,306470,173,12811,2007-03-01,"(주)시네마서비스,CJ ENM","15세이상관람가","드라마,코미디","정윤철","천호진,문희경,김혜수,유아인,황보라,정유미,이기우,임혁필,이대헌,백경인,강소영,좋지 아니한가,최린,박규정,장은혜,오성일,김동진,이용범,하은설,이미도,최현철,김병옥,김선중,김보라,신민철,조덕현,김호경,박현영,김도영,우기홍","(주)무사이필름"
"주먹이 운다(Crying Fist)",9322812000,1462972,249,32964,2005-04-01,"쇼이스트(주)","15세관람가","드라마","류승완","최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,심재원,권용덕,서혜린(정희숙),정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김지훈,김수현,이태준,김효정,김효선,황재근,양민석,이도겸,박준면,정인기,김기천","(주)브라보엔터테인먼트,시오필름(주)"
"주문진",372281300,66098,95,2820,2010-01-21,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,멜로/로맨스,판타지","하명중","김기범,민준호,황보라,조상기,박하선,이대수,이승조,이용녀,정종열","(주)하명중 영화제작소"
"주유소 습격사건 2",5379208500,729834,315,27844,2010-01-21,"(주)시네마서비스","15세이상관람가","액션,코미디","김상진","지현우,조한선,박영규,송율규,정재훈,문원주,나해리,탁트인,김정운,강경덕,신승훈,조영민,김윤성,박진영,배선옥,백종민,강승완,정규영,정찬석,김상진,유승우,유용주,박상욱,이세미,정지호,이영식,김태훈,이정임,이미도,조덕현,박상면,이도겸","㈜감독의집,(주)시네마서비스"
"주홍글씨",6648786000,1030259,190,18777,2004-10-29,"(주)쇼박스","18세관람가","스릴러,멜로/로맨스","변혁","성현아,한석규,이은주,변혁,엄지원,김중기,정인기","(주)엘제이필름"
"죽어도 해피엔딩",1190809000,181186,177,9320,2007-08-22,"(주)프라임엔터테인먼트","15세이상관람가","코미디,멜로/로맨스,스릴러","강경훈","예지원,정경호,정두홍,임원희,리차드 김,근휘,김병춘,우현,조은지,윤주상,조희봉","(주)싸이더스,(주)프리미어엔터테인먼트"
"중천",8581442100,1421412,402,31853,2006-12-21,"CJ ENM","12세이상관람가","액션,드라마,판타지","조동오","정우성,김태희,정욱,김광일,신제문,소이현,김민범,최희대,백경순,백동현,오세윤,장혁진,박정학,조재윤,정석용,최홍일,박상욱","(주)나비픽처스"
"즐거운 인생",7874566500,1202719,322,39418,2007-09-13,"CJ ENM","전체관람가","드라마","이준익","김상호,김윤석,주진모,장근석,정진영,김호정,송재완,조성구,홍인기,노브레인,정성미,이정연,신정근,정민성","(주)영화사아침"
"증인",20482789331,2534748,1047,89564,2019-02-13,"롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","이한","정우성,김향기,이규형,염혜란,장영남,정원중,김종수,박근형,송윤아,이준혁,이레,김승욱,오재세,이채은,이서준,이서환,강민지,강지현,박세정,권혁준,김경훈,박재환,박주은,박준호,박찬영,송우용,김미진,안성봉,신치영,신혜정,김범석,오창경,김소연,김수경,이준형,장효석,김정연,김호연,조성재,김홍식,최은영,최종률,정도원,정명훈,조한나,이승헌,강은수,고민지,곽나현,권정은,김규인,김난영,표예리,김바비,이동훈,김학선,이영아,김승윤,이민정,조복휘,김인규,김준원,정승욱,도현,김형묵,정영록,남혜진,김태현,정우성,문승배,정경현,이은샘,채치웅,윤정환,박미정,이종익,최문익,심은정,이석환,박윤근,박은우,엄주원,박창화,엄혜란,배내희,손제형,추귀정,염지영,장부익,장선아,서광재,한윤지,한재경,이슬이","(주)무비락,(주)도서관옆스튜디오"
"지구대표 롤링스타즈",230047000,35578,171,2326,2011-03-24,"롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션","임상준","류덕환,류승룡,심은경,이병준,류덕환","(주)한컴,캐릭터플랜(주)"
"지금 만나러 갑니다",20800916128,2602273,1191,97482,2018-03-14,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스","이장훈","소지섭,손예진,김지환,고창석,이유진,김현수,배유람,이준혁,서정연,손여은,이진,이상철,이재환,이정민,변지은,김지민,송지연,이준성,김지호,김하은,유은성,박서준,정유민,정현우,차봉주,김경애,김민석,김선웅,김범준,공효진","(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스"
"지금 사랑하는 사람과 살고 있습니까?",7004658500,1042955,291,26165,2007-08-15,"(주)시네마서비스","청소년관람불가","드라마,멜로/로맨스","정윤수","박용우,한채영,이동건,엄정화,허은,박인영,심준보,이현순,이형숙,강성필,박혁민","(주)씨네이천"
"진범",1430365000,168119,224,8819,2019-07-10,"(주)리틀빅픽쳐스","15세이상관람가","스릴러","고정욱","송새벽,유선,장혁진,오민석,박미리,김귀선,신현탁,김민지,김성혜,윤송아,고유,정해균,이준헌,정희태,장혜진,최정원,강소윤,이경오,최현준,이다희,권현수,김상두,김필,한수연,우미화,마민희,박건준,심혜연,양예나,오동현,전현숙,장영,송하린","(주)곰픽쳐스,(주)트러스트스튜디오"
"집으로 가는 길",13049026745,1854711,740,42896,2013-12-11,"(주)씨제이이엔엠","15세이상관람가","드라마","방은진","전도연,고수,류태호,조승연,최민철,조수정,박윤희,박인영,이태범,강명찬,이후빈,최성택,최원기,허준석,이언정,이정은,김미경,김진상,김현민,배성우,이동휘,장광,김해곤,박형수,이민웅,오연아,신유람,박지일,서병철","(주)씨제이이엔엠,(주)다세포클럽"
"짝패",6585332300,1021631,210,24404,2006-05-25,"CJ ENM","18세관람가","액션","류승완","김효선,정두홍,류승완,이범수,김꽃비,김동영,김수현,박지환,정희정,조규철,김원중,신성일,김미라,박주천,최태영,주형진,지중현,김덕현,박대희,구자훈,권귀덕,박상재,정은미,최영남,권승구,이종연,이진선,김정환,이인우,이혜림,이재욱,정우,김병옥,조덕현,정석용,안길강,김시후,이주실,김기천,박영서","(주)외유내강"
"쩨쩨한 로맨스",15800299000,2067534,450,47891,2010-12-01,"롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","코미디,멜로/로맨스","김정훈","이선균,최강희,류현경,오정세,석정현,조성환,송유하,최현숙,추연규,류지혜,정구영,박성일,이원종,최희진,신동환,조은지,정민성","(주)크리픽쳐스"
"찌라시: 위험한 소문",9111748087,1221427,560,37426,2014-02-20,"(주)씨제이이엔엠","15세이상관람가","범죄,드라마","김광식","김강우,고창석,박성웅,이진호,이현민,박정우,박진수,서병덕,임준혁,장한얼,신현수,정문구,정승아,정자영,유지연,정희중,조아라,윤석진,고태영,이경훈,최선규,이상미,이성재,이정호,이종혁,이준혁,이지은,김도형,김민호,김범준,김진성,문호진,민정기,이채은,정진영,진선규,장광,김의성,배용근,최미라,고원희,박형수,우기홍","(주)영화사수박"
"차우",12531840500,1778843,397,41354,2009-07-15,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","액션,어드벤처,코미디","신정원","엄태웅,정유미,윤제문,권영국,김기천,박혁권,강구현,신미소,조민기,홍세인,정윤민,김윤호,유성철,권귀덕,김종호,장항선,최원영,하성광,이장유,박혜진,권범택","(주)영화사수작"
"차이나타운",11990707878,1472147,551,45149,2015-04-29,"CGV아트하우스","청소년관람불가","범죄,드라마","한준희","김혜수,김고은,엄태구,박보검,고경표,오대환,배유람,이혁준,백동현,노경섭,권지훈,김경애,오유진,우종현,유지현,김성종,이상희,이수경,김수안,정석용,이대연,이루리,안재홍,기주봉,조복래,이민지,백수장,조현철,차래형,우상기,주예지,이해운","폴룩스픽쳐스(주)"
"차형사",9752555296,1346754,433,39152,2012-05-30,"(주)씨제이이엔엠","15세이상관람가","코미디,액션","신태라","강지환,성유리,이수혁,김영광,신민철,손현우,윤봉길,이태형,이한샘,신정근,박정학,이희준,라미란,최진규,한대희,허명행,이예지,윤선영,이대수,박보검,주영호,최영민,미람,김우빈,이은채,손병욱,최윤슬","썸머트리 주식회사"
"창궐",13278236490,1599598,1351,60689,2018-10-25,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","사극,액션","김성훈","현빈,장유화,장동건,조우진,정만식,이선빈,김의성,조달환,박진우,서지혜,한지은,공정환,김태우,이승일,이동훈,이상준,이상훈,이승주,배정환,이우성,이우정,이재남,이정민,이정민,김주혁,서지은,이진용,이창훈,이형원,김태경,김태윤,김태희,김하진,나대한,민경옥,박경관,박성빈,임용순,장현,장윤정,박종범,정수연,박지아,박지원,정재훈,박태민,김현욱,김현욱,강정진,조민아,최규리,최아영,김다연,김다연,김대현,최재영,한아름,한지혜,한지혜,편광진,황원일,김성태,김은진,김수지,김승환,김성규,김제형,오재세,한성희,허성태,허준석,조윤서,송훈,김성준,김대곤,조한준,전운종,주광현,이유진,정현국,오일용,김성준,김지수,정선희,정선희,이민혁,이상훈,안수민,윤석동","리양필름(주),영화사 이창"
"창수",3146542000,429141,415,19471,2013-11-28,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트","청소년관람불가","드라마","이덕희","임창정,안내상,정성화,손은서,김기훈,김윤영,김진용,추용현,방선화,안성곤,여예성,이덕희,이동진,장경선,정현철,방준호,지대한,전국환,박경환,양도현","영화사 아람(주),(주)마이더스필름"
"채비",1260533864,177439,480,9983,2017-11-09,"오퍼스픽쳐스(유)","12세이상관람가","드라마","조영준","고두심,김성균,유선,박철민,김희정,신세경,마현,박세준,박소연,박소정,박지윤,박혜영,송국진,양태열,유지연,한지호,이태규,김남언,장문규,김정환,현봉식,김영재,박성연,어성욱","(주)26컴퍼니"
