"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster","감독_배우"
"베를린",52356534637,7166453,894,111749,"2013-01-30","(주)씨제이이엔엠","15세이상관람가","액션","류승완","한석규","(주)외유내강,(주)씨제이이엔엠",3,"이경영"
"봉오동 전투",40588648538,4787538,1476,107030,"2019-08-07","(주)쇼박스","15세이상관람가","사극,액션,드라마","원신연","유해진","(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",2,"유해진"
"봉오동 전투",40588648538,4787538,1476,107030,"2019-08-07","(주)쇼박스","15세이상관람가","사극,액션,드라마","원신연","류준열","(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",2,"유해진"
"부러진 화살",25937273000,3459864,530,71593,"2012-01-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","정지영","안성기","(주)아우라픽처스",1,"이경영"
"부러진 화살",25937273000,3459864,530,71593,"2012-01-18","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","정지영","박원상","(주)아우라픽처스",1,"이경영"
"사도",48846045501,6247651,1210,124263,"2015-09-16","(주)쇼박스","12세이상관람가","사극","이준익","송강호","(주)타이거픽쳐스",2,"송강호"
"사도",48846045501,6247651,1210,124263,"2015-09-16","(주)쇼박스","12세이상관람가","사극","이준익","유아인","(주)타이거픽쳐스",2,"송강호"
"설국열차",67012235200,9350323,1128,124858,"2013-08-01","(주)씨제이이엔엠","15세이상관람가","SF,액션","봉준호","크리스 에반스","(주)모호필름,오퍼스픽쳐스(유)",3,"송강호"
"설국열차",67012235200,9350323,1128,124858,"2013-08-01","(주)씨제이이엔엠","15세이상관람가","SF,액션","봉준호","송강호","(주)모호필름,오퍼스픽쳐스(유)",3,"송강호"
"수상한 그녀",62710880849,8658800,1027,136985,"2014-01-22","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","심은경","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",3,"황정민"
"수상한 그녀",62710880849,8658800,1027,136985,"2014-01-22","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","나문희","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",3,"황정민"
"숨바꼭질",39602995500,5604106,779,88064,"2013-08-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","손현주","(주)드림캡쳐",2,""
"숨바꼭질",39602995500,5604106,779,88064,"2013-08-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","전미선","(주)드림캡쳐",2,""
"스물",23563705686,3044859,926,100167,"2015-03-25","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이병헌","김우빈","(주)영화나무,(주)아이에이치큐",1,""
"스물",23563705686,3044859,926,100167,"2015-03-25","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이병헌","준호","(주)영화나무,(주)아이에이치큐",1,""
"스파이",24512378305,3436012,785,72804,"2013-09-05","(주)씨제이이엔엠","15세이상관람가","액션","이승준","설경구","(주)제이케이필름,(주)씨제이이엔엠",1,"정인기"
"스파이",24512378305,3436012,785,72804,"2013-09-05","(주)씨제이이엔엠","15세이상관람가","액션","이승준","문소리","(주)제이케이필름,(주)씨제이이엔엠",1,"정인기"
"신기전",24326346000,3728429,585,78463,"2008-09-04","CJ ENM","15세이상관람가","사극,드라마,액션,전쟁","김유진","정재영","(주)시네마서비스글로벌",1,""
"신기전",24326346000,3728429,585,78463,"2008-09-04","CJ ENM","15세이상관람가","사극,드라마,액션,전쟁","김유진","한은정","(주)시네마서비스글로벌",1,""
"신세계",34881330905,4682492,671,90581,"2013-02-21","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","범죄,액션","박훈정","이정재","(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",2,"황정민"
"신세계",34881330905,4682492,671,90581,"2013-02-21","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","범죄,액션","박훈정","최민식","(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",2,"황정민"
"신의 한 수",28812027456,3566852,794,77110,"2014-07-03","(주)쇼박스","청소년관람불가","범죄,액션","조범구","정우성","(주)메이스엔터테인먼트,(주)아지트필름",1,""
"신의 한 수",28812027456,3566852,794,77110,"2014-07-03","(주)쇼박스","청소년관람불가","범죄,액션","조범구","이범수","(주)메이스엔터테인먼트,(주)아지트필름",1,""
"쌍화점",25411823400,3749034,532,72498,"2008-12-30","(주)쇼박스","청소년관람불가","드라마","유하","조인성","오퍼스픽쳐스(유)",1,"주진모"
"쌍화점",25411823400,3749034,532,72498,"2008-12-30","(주)쇼박스","청소년관람불가","드라마","유하","주진모","오퍼스픽쳐스(유)",1,"주진모"
"써니",54036428100,7362789,546,149143,"2011-05-04","(주)씨제이이엔엠","15세이상관람가","드라마,코미디","강형철","유호정","(주)알로하픽쳐스,(주)토일렛픽쳐스",3,""
"써니",54036428100,7362789,546,149143,"2011-05-04","(주)씨제이이엔엠","15세이상관람가","드라마,코미디","강형철","심은경","(주)알로하픽쳐스,(주)토일렛픽쳐스",3,""
"아가씨",35217052991,4288530,1171,90372,"2016-06-01","(주)씨제이이엔엠","청소년관람불가","스릴러,드라마","박찬욱","김민희","유한회사 아가씨에프에스,(주)모호필름,(주)용필름",1,"하정우"
"아가씨",35217052991,4288530,1171,90372,"2016-06-01","(주)씨제이이엔엠","청소년관람불가","스릴러,드라마","박찬욱","김태리","유한회사 아가씨에프에스,(주)모호필름,(주)용필름",1,"하정우"
"아이 캔 스피크",25551269986,3283470,1140,93074,"2017-09-21","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스","12세이상관람가","코미디","김현석","나문희","주식회사 영화사 시선,(주)명필름",1,""
"아이 캔 스피크",25551269986,3283470,1140,93074,"2017-09-21","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스","12세이상관람가","코미디","김현석","이제훈","주식회사 영화사 시선,(주)명필름",1,""
"아저씨",47102707500,6178452,501,109875,"2010-08-04","CJ ENM","청소년관람불가","액션,드라마","이정범","원빈","오퍼스픽쳐스(유)",2,"송영창"
"아저씨",47102707500,6178452,501,109875,"2010-08-04","CJ ENM","청소년관람불가","액션,드라마","이정범","김새론","오퍼스픽쳐스(유)",2,"송영창"
"악인전",29133760150,3364712,1307,97351,"2019-05-15","(주)에이스메이커무비웍스,(주)키위미디어그룹","청소년관람불가","범죄,액션","이원태","마동석","(주)비에이엔터테인먼트",1,""
"악인전",29133760150,3364712,1307,97351,"2019-05-15","(주)에이스메이커무비웍스,(주)키위미디어그룹","청소년관람불가","범죄,액션","이원태","김무열","(주)비에이엔터테인먼트",1,""
"안시성",46342006026,5441020,1540,110444,"2018-09-19","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","사극,액션","김광식","조인성","(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",2,""
"안시성",46342006026,5441020,1540,110444,"2018-09-19","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","사극,액션","김광식","남주혁","(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",2,""
"암수살인",32998321048,3789553,1177,126128,"2018-10-03","(주)쇼박스","15세이상관람가","범죄,드라마","김태균","김윤석","(주)필름295,(주)블러썸픽쳐스",1,"김윤석"
"암수살인",32998321048,3789553,1177,126128,"2018-10-03","(주)쇼박스","15세이상관람가","범죄,드라마","김태균","주지훈","(주)필름295,(주)블러썸픽쳐스",1,"김윤석"
"엑시트",79232012162,9426011,1660,202223,"2019-07-31","(주)씨제이이엔엠","12세이상관람가","코미디,액션","이상근","조정석","(주)외유내강,(주)필름케이",3,""
"엑시트",79232012162,9426011,1660,202223,"2019-07-31","(주)씨제이이엔엠","12세이상관람가","코미디,액션","이상근","윤아","(주)외유내강,(주)필름케이",3,""
"역린",29894266890,3849552,1054,83299,"2014-04-30","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","사극","이재규","현빈","굿초이스컷픽쳐스(주),(주)파파스필름",1,"송영창"
"역린",29894266890,3849552,1054,83299,"2014-04-30","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","사극","이재규","정재영","굿초이스컷픽쳐스(주),(주)파파스필름",1,"송영창"
"연가시",32175400664,4515833,759,71928,"2012-07-05","(주)씨제이이엔엠","15세이상관람가","공포(호러),SF","박정우","김명민","(주)오죤필름",2,"송영창"
"연가시",32175400664,4515833,759,71928,"2012-07-05","(주)씨제이이엔엠","15세이상관람가","공포(호러),SF","박정우","문정희","(주)오죤필름",2,"송영창"
"연평해전",45567290830,6044956,1013,114487,"2015-06-24","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","드라마","김학순","김무열","(주)로제타시네마",2,""
"연평해전",45567290830,6044956,1013,114487,"2015-06-24","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","드라마","김학순","진구","(주)로제타시네마",2,""
"오싹한 연애",22010977000,3009356,544,62913,"2011-12-01","(주)씨제이이엔엠","12세이상관람가","공포(호러),멜로/로맨스,코미디","황인호","손예진","상상필름(주)",1,""
"오싹한 연애",22010977000,3009356,544,62913,"2011-12-01","(주)씨제이이엔엠","12세이상관람가","공포(호러),멜로/로맨스,코미디","황인호","이민기","상상필름(주)",1,""
"완득이",38533069000,5311232,629,117847,"2011-10-20","(주)씨제이이엔엠","12세이상관람가","드라마","이한","김윤석","(주)유비유필름,어나더픽쳐스(주)",2,"김윤석"
"완득이",38533069000,5311232,629,117847,"2011-10-20","(주)씨제이이엔엠","12세이상관람가","드라마","이한","유아인","(주)유비유필름,어나더픽쳐스(주)",2,"김윤석"
"완벽한 타인",44356976474,5294154,1325,143075,"2018-10-31","롯데컬처웍스(주)롯데엔터테인먼트","15세이상관람가","드라마,코미디","이재규","유해진","(주)필름몬스터,드라마하우스(주)",2,"유해진"
"완벽한 타인",44356976474,5294154,1325,143075,"2018-10-31","롯데컬처웍스(주)롯데엔터테인먼트","15세이상관람가","드라마,코미디","이재규","조진웅","(주)필름몬스터,드라마하우스(주)",2,"유해진"
"용의자",30037521000,4131338,807,69124,"2013-12-24","(주)쇼박스","15세이상관람가","액션,스릴러","원신연","공유","(주)그린피쉬,(주)쇼박스",1,""
"용의자",30037521000,4131338,807,69124,"2013-12-24","(주)쇼박스","15세이상관람가","액션,스릴러","원신연","박희순","(주)그린피쉬,(주)쇼박스",1,""
"우리 생애 최고의 순간",26119898000,4018872,418,70724,"2008-01-10","(주)싸이더스","전체관람가","드라마","임순례","문소리","(주)엠케이픽처스",1,"하정우"
"우리 생애 최고의 순간",26119898000,4018872,418,70724,"2008-01-10","(주)싸이더스","전체관람가","드라마","임순례","김정은","(주)엠케이픽처스",1,"하정우"
"웰컴 투 동막골",40328508500,6436508,356,72108,"2005-08-04","(주)쇼박스","12세관람가","전쟁,드라마","박광현","신하균","필름있수다,(주)쇼박스",2,""
"웰컴 투 동막골",40328508500,6436508,356,72108,"2005-08-04","(주)쇼박스","12세관람가","전쟁,드라마","박광현","정재영","필름있수다,(주)쇼박스",2,""
"은밀하게 위대하게",48700887413,6959083,1341,117461,"2013-06-05","(주)쇼박스","15세이상관람가","액션,코미디,드라마","장철수","김수현","(주)엠씨엠씨",3,""
"은밀하게 위대하게",48700887413,6959083,1341,117461,"2013-06-05","(주)쇼박스","15세이상관람가","액션,코미디,드라마","장철수","박기웅","(주)엠씨엠씨",3,""
"의형제",40153817000,5416829,569,118250,"2010-02-04","(주)쇼박스","15세이상관람가","드라마,액션","장훈","송강호","(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",2,"정인기"
"의형제",40153817000,5416829,569,118250,"2010-02-04","(주)쇼박스","15세이상관람가","드라마,액션","장훈","강동원","(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",2,"정인기"
"이끼",25437300500,3350303,740,58198,"2010-07-14","CJ ENM","청소년관람불가","드라마,스릴러","강우석","정재영","(주)시네마서비스,㈜렛츠필름,(주)시네마서비스글로벌",1,"유해진"
"이끼",25437300500,3350303,740,58198,"2010-07-14","CJ ENM","청소년관람불가","드라마,스릴러","강우석","박해일","(주)시네마서비스,㈜렛츠필름,(주)시네마서비스글로벌",1,"유해진"
"인천상륙작전",55105606303,7050475,1049,97032,"2016-07-27","(주)씨제이이엔엠","12세이상관람가","전쟁,드라마","이재한","이정재","(주)태원엔터테인먼트",3,"김병옥"
"인천상륙작전",55105606303,7050475,1049,97032,"2016-07-27","(주)씨제이이엔엠","12세이상관람가","전쟁,드라마","이재한","이범수","(주)태원엔터테인먼트",3,"김병옥"
"전우치",44092783000,6065369,612,102356,"2009-12-23","CJ ENM","12세이상관람가","액션,코미디,판타지","최동훈","강동원","영화사 집",2,"유해진"
"전우치",44092783000,6065369,612,102356,"2009-12-23","CJ ENM","12세이상관람가","액션,코미디,판타지","최동훈","김윤석","영화사 집",2,"유해진"
"조선명탐정 : 각시투구꽃의 비밀",35841769500,4786259,634,84189,"2011-01-27","(주)쇼박스","12세이상관람가","코미디,액션","김석윤","김명민","청년필름(주)",2,"정인기"
"조선명탐정 : 각시투구꽃의 비밀",35841769500,4786259,634,84189,"2011-01-27","(주)쇼박스","12세이상관람가","코미디,액션","김석윤","오달수","청년필름(주)",2,"정인기"
"조선명탐정 : 사라진 놉의 딸",30456879428,3872015,825,80499,"2015-02-11","(주)쇼박스","12세이상관람가","사극,코미디,어드벤처","김석윤","김명민","청년필름(주)",1,"황정민"
"조선명탐정 : 사라진 놉의 딸",30456879428,3872015,825,80499,"2015-02-11","(주)쇼박스","12세이상관람가","사극,코미디,어드벤처","김석윤","오달수","청년필름(주)",1,"황정민"
"좋은 놈, 나쁜 놈, 이상한 놈",43754257000,6685845,824,93574,"2008-07-17","CJ ENM","15세이상관람가","서부극(웨스턴),액션,어드벤처","김지운","송강호","(주)다크서클픽쳐스,(주)바른손이앤에이",3,"송영창"
"좋은 놈, 나쁜 놈, 이상한 놈",43754257000,6685845,824,93574,"2008-07-17","CJ ENM","15세이상관람가","서부극(웨스턴),액션,어드벤처","김지운","이병헌","(주)다크서클픽쳐스,(주)바른손이앤에이",3,"송영창"
"청년경찰",44382020516,5653444,1102,118547,"2017-08-09","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션","김주환","박서준","(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",2,""
"청년경찰",44382020516,5653444,1102,118547,"2017-08-09","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션","김주환","강하늘","(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",2,""
"최종병기 활",55827861500,7470633,615,130054,"2011-08-10","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","사극,액션","김한민","박해일","(주)디씨지플러스,(주)다세포클럽",3,"이경영"
"최종병기 활",55827861500,7470633,615,130054,"2011-08-10","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","사극,액션","김한민","류승룡","(주)디씨지플러스,(주)다세포클럽",3,"이경영"
"추격자",33986959000,5046096,433,106805,"2008-02-14","(주)쇼박스","청소년관람불가","범죄,스릴러,액션","나홍진","김윤석","(주)영화사비단길",2,"하정우"
"추격자",33986959000,5046096,433,106805,"2008-02-14","(주)쇼박스","청소년관람불가","범죄,스릴러,액션","나홍진","하정우","(주)영화사비단길",2,"하정우"
"친절한 금자씨",20483051393,3119682,386,41438,"2005-07-29","CJ ENM","18세관람가","스릴러","박찬욱","이영애","(주)모호필름",1,"김병옥"
"친절한 금자씨",20483051393,3119682,386,41438,"2005-07-29","CJ ENM","18세관람가","스릴러","박찬욱","최민식","(주)모호필름",1,"김병옥"
"퀵",22960890000,3125069,514,60714,"2011-07-20","(주)씨제이이엔엠","15세이상관람가","코미디,액션","조범구","이민기","(주)제이케이필름,(주)씨제이이엔엠",1,"주진모"
"퀵",22960890000,3125069,514,60714,"2011-07-20","(주)씨제이이엔엠","15세이상관람가","코미디,액션","조범구","강예원","(주)제이케이필름,(주)씨제이이엔엠",1,"주진모"
"타워",37654858000,5181014,638,81147,"2012-12-25","(주)씨제이이엔엠","12세이상관람가","드라마","김지훈","설경구","(주)씨제이이엔엠,(주)더타워픽쳐스",2,"정인기"
"타워",37654858000,5181014,638,81147,"2012-12-25","(주)씨제이이엔엠","12세이상관람가","드라마","김지훈","손예진","(주)씨제이이엔엠,(주)더타워픽쳐스",2,"정인기"
"타짜",36181314700,5685521,492,76884,"2006-09-28","CJ ENM","18세관람가","드라마","최동훈","조승우","(주)싸이더스,(주)영화사참",2,"유해진"
"타짜",36181314700,5685521,492,76884,"2006-09-28","CJ ENM","18세관람가","드라마","최동훈","김혜수","(주)싸이더스,(주)영화사참",2,"유해진"
"타짜-신의 손",32373120927,4015361,890,80584,"2014-09-03","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스","청소년관람불가","드라마","강형철","T.O.P","(주)싸이더스",1,"이경영"
"타짜-신의 손",32373120927,4015361,890,80584,"2014-09-03","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스","청소년관람불가","드라마","강형철","신세경","(주)싸이더스",1,"이경영"
"탐정: 리턴즈",26909514678,3152895,1137,107909,"2018-06-13","(주)씨제이이엔엠","15세이상관람가","코미디,범죄","이언희","권상우","(주)크리픽쳐스",1,""
"탐정: 리턴즈",26909514678,3152895,1137,107909,"2018-06-13","(주)씨제이이엔엠","15세이상관람가","코미디,범죄","이언희","성동일","(주)크리픽쳐스",1,""
"태풍",22209675300,3471150,481,47155,"2005-12-14","CJ ENM","15세관람가","드라마,액션","곽경택","장동건","CJ ENM",1,""
"태풍",22209675300,3471150,481,47155,"2005-12-14","CJ ENM","15세관람가","드라마,액션","곽경택","이정재","CJ ENM",1,""
"터널",57530028417,7120780,1105,113214,"2016-08-10","(주)쇼박스","12세이상관람가","드라마","김성훈","하정우","(주)어나더썬데이,(주)비에이엔터테인먼트",3,"하정우"
"터널",57530028417,7120780,1105,113214,"2016-08-10","(주)쇼박스","12세이상관람가","드라마","김성훈","배두나","(주)어나더썬데이,(주)비에이엔터테인먼트",3,"하정우"
"투사부일체",31959686000,5074314,407,54339,"2006-01-19","CJ ENM","15세관람가","코미디","김동원","정준호","(주)시네마제니스",2,""
"투사부일체",31959686000,5074314,407,54339,"2006-01-19","CJ ENM","15세관람가","코미디","김동원","김상중","(주)시네마제니스",2,""
"판도라",36067171064,4584800,1184,100270,"2016-12-07","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","드라마,스릴러","박정우","김남길","(주)씨에이씨엔터테인먼트",2,"이경영"
"판도라",36067171064,4584800,1184,100270,"2016-12-07","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","드라마,스릴러","박정우","김주현","(주)씨에이씨엔터테인먼트",2,"이경영"
"포화속으로",23831968600,3330326,742,80093,"2010-06-16","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,전쟁","이재한","차승원","(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스",1,""
"포화속으로",23831968600,3330326,742,80093,"2010-06-16","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,전쟁","이재한","권상우","(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스",1,""
"하모니",21641865000,3018154,384,77732,"2010-01-28","CJ ENM","12세이상관람가","드라마","강대규","김윤진","(주)제이케이필름",1,""
"하모니",21641865000,3018154,384,77732,"2010-01-28","CJ ENM","12세이상관람가","드라마","강대규","나문희","(주)제이케이필름",1,""
"한반도",20597497600,3331593,483,49539,"2006-07-13","CJ ENM","15세관람가","드라마,액션","강우석","조재현","(주)시네마서비스글로벌",1,""
"한반도",20597497600,3331593,483,49539,"2006-07-13","CJ ENM","15세관람가","드라마,액션","강우석","차인표","(주)시네마서비스글로벌",1,""
"해적: 바다로 간 산적",66372140706,8666208,910,133354,"2014-08-06","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","어드벤처","이석훈","김남길","(주)하리마오픽쳐스",3,"이경영"
"해적: 바다로 간 산적",66372140706,8666208,910,133354,"2014-08-06","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","어드벤처","이석훈","손예진","(주)하리마오픽쳐스",3,"이경영"
"헬로우 고스트",22056966500,3019780,472,57578,"2010-12-22","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,드라마","김영탁","차태현","(주)워터앤트리",1,""
"헬로우 고스트",22056966500,3019780,472,57578,"2010-12-22","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,드라마","김영탁","강예원","(주)워터앤트리",1,""
"화려한 휴가",44098519600,6855314,551,96528,"2007-07-25","CJ ENM","12세이상관람가","드라마","김지훈","김상경","기획시대(주)",3,""
"화려한 휴가",44098519600,6855314,551,96528,"2007-07-25","CJ ENM","12세이상관람가","드라마","김지훈","안성기","기획시대(주)",3,""
"히말라야",60175363015,7759761,1095,142715,"2015-12-16","(주)씨제이이엔엠","12세이상관람가","드라마","이석훈","황정민","(주)제이케이필름",3,"황정민"
"히말라야",60175363015,7759761,1095,142715,"2015-12-16","(주)씨제이이엔엠","12세이상관람가","드라마","이석훈","정우","(주)제이케이필름",3,"황정민"
"타짜-신의 손",32373120927,4015361,890,80584,"2014-09-03","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스","청소년관람불가","드라마","강형철","T.O.P","(주)싸이더스",1,"유해진"
"타짜-신의 손",32373120927,4015361,890,80584,"2014-09-03","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스","청소년관람불가","드라마","강형철","신세경","(주)싸이더스",1,"유해진"
"타짜-신의 손",32373120927,4015361,890,80584,"2014-09-03","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스","청소년관람불가","드라마","강형철","T.O.P","(주)싸이더스",1,"김윤석"
"타짜-신의 손",32373120927,4015361,890,80584,"2014-09-03","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스","청소년관람불가","드라마","강형철","신세경","(주)싸이더스",1,"김윤석"
"해적: 바다로 간 산적",66372140706,8666208,910,133354,"2014-08-06","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","어드벤처","이석훈","김남길","(주)하리마오픽쳐스",3,"유해진"
"해적: 바다로 간 산적",66372140706,8666208,910,133354,"2014-08-06","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","어드벤처","이석훈","손예진","(주)하리마오픽쳐스",3,"유해진"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","하정우","(주)영화사 월광,(주)쇼박스",2,"하정우"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","강동원","(주)영화사 월광,(주)쇼박스",2,"하정우"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","하정우","(주)영화사 월광,(주)쇼박스",2,"송영창"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","강동원","(주)영화사 월광,(주)쇼박스",2,"송영창"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","하정우","(주)영화사 월광,(주)쇼박스",2,"주진모"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","강동원","(주)영화사 월광,(주)쇼박스",2,"주진모"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","하정우","(주)영화사 월광,(주)쇼박스",2,"김병옥"
"군도: 민란의 시대",36989711499,4775441,1394,67252,"2014-07-23","(주)쇼박스","15세이상관람가","사극,액션","윤종빈","강동원","(주)영화사 월광,(주)쇼박스",2,"김병옥"
"범죄와의 전쟁: 나쁜놈들 전성시대",36540327500,4720050,713,91892,"2012-02-02","(주)쇼박스","청소년관람불가","범죄,드라마","윤종빈","최민식","(주)팔레트픽처스,(주)쇼박스",2,"송영창"
"범죄와의 전쟁: 나쁜놈들 전성시대",36540327500,4720050,713,91892,"2012-02-02","(주)쇼박스","청소년관람불가","범죄,드라마","윤종빈","하정우","(주)팔레트픽처스,(주)쇼박스",2,"송영창"
"남한산성",31225419792,3849129,1229,71102,"2017-10-03","(주)씨제이이엔엠","15세이상관람가","사극,드라마","황동혁","이병헌","(주)싸이런픽쳐스",1,"김윤석"
"남한산성",31225419792,3849129,1229,71102,"2017-10-03","(주)씨제이이엔엠","15세이상관람가","사극,드라마","황동혁","김윤석","(주)싸이런픽쳐스",1,"김윤석"
"수상한 그녀",62710880849,8658800,1027,136985,"2014-01-22","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","심은경","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",3,"정인기"
"수상한 그녀",62710880849,8658800,1027,136985,"2014-01-22","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","나문희","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",3,"정인기"
"좋은 놈, 나쁜 놈, 이상한 놈",43754257000,6685845,824,93574,"2008-07-17","CJ ENM","15세이상관람가","서부극(웨스턴),액션,어드벤처","김지운","송강호","(주)다크서클픽쳐스,(주)바른손이앤에이",3,"송강호"
"좋은 놈, 나쁜 놈, 이상한 놈",43754257000,6685845,824,93574,"2008-07-17","CJ ENM","15세이상관람가","서부극(웨스턴),액션,어드벤처","김지운","이병헌","(주)다크서클픽쳐스,(주)바른손이앤에이",3,"송강호"
"군함도",50510565168,6592151,2027,108775,"2017-07-26","(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","황정민","(주)외유내강,(주)필름케이",3,"황정민"
"군함도",50510565168,6592151,2027,108775,"2017-07-26","(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","소지섭","(주)외유내강,(주)필름케이",3,"황정민"
